#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
29,22728,Michael Carter,RB,NYJ,14,3,10.8,4.9,10.4,14.8,-,16.4,32.2,9.6,18.2,7.5,-,-,-,3,14.4,7.3,1.9,11,154.4
30,17240,Saquon Barkley,RB,NYG,14,3.7,8.9,21.4,29.6,0.9,0,-,-,-,-,11.6,9.3,13.4,18.5,9.4,3.8,10.2,7.9,10.6,148.6
31,00-0031285,Devonta Freeman,RB,BAL,16,-,2.9,0.8,0.4,6.5,11.3,12.9,-,16.3,8.8,20,7,20.7,12.2,3.4,10,8.7,4.7,9.2,146.6
32,00-0034845,Sony Michel,RB,LA,17,0.2,4.6,10.9,-0.9,11.5,4.2,0.4,7.6,10.6,5.1,-,3.5,21.9,7.9,13.5,20.5,18.9,5.9,8.6,146.3
33,00-0032972,Devontae Booker,RB,NYG,16,2.3,2.1,-,2.2,20.8,10.9,14.6,17.5,15.2,-,3,3.7,9.4,12.4,10.2,8.6,6.6,4.6,9,144.1
34,17496,Chase Edmonds,RB,ARI,12,14.6,12.5,14.5,17.9,4.4,8,10,15.9,0.3,-,-,-,-,-,5.3,26.7,13.2,-,11.9,143.3
35,00-0032063,Mike Davis,RB,ATL,17,10.2,13.3,11,10.6,12.1,-,1,11.6,2.8,1.8,5.1,7.1,16.9,13.6,2.1,4.5,12.7,1.8,8.1,138.2
36,19792,Chuba Hubbard,RB,CAR,16,2.4,1,10.9,9.1,18.4,13.5,9.6,14.1,4.6,8.7,-,0.6,BYE,9.3,5.1,0.9,15.8,13.6,8.6,137.6
37,00-0032602,J.D. McKissic,RB,WAS,11,0.8,20.3,5.8,16.9,1.7,19,9.6,17.3,-,7.9,6,22.6,-,-,-,-,-,-,11.6,127.9
38,16393,Christian McCaffrey,RB,CAR,7,27.7,24.7,6,-,-,BYE,-,-,14.6,26.1,24.9,3.5,-,-,-,-,-,-,18.2,127.5
39,18621,Alexander Mattison,RB,MIN,16,1.6,3.8,23.1,2,26.3,1,-,2,1.3,5,0.5,10.8,21.4,2.7,-,16,5.3,3.1,7.9,125.9
40,00-0029239,Brandon Bolden,RB,NE,16,0.5,-,5.2,11.1,7.1,1.2,19.9,2.6,10.1,10,3.6,9.4,6.5,-,7.4,4.4,4.5,20.6,7.8,124.1
41,23310,Kenneth Gainwell,RB,PHI,16,12.3,7.2,6.4,20.9,3.4,1.1,14.1,2.7,6.3,2.4,-,6.2,19.7,-,0,1.6,0.4,18.7,7.7,123.4
42,00-0034750,Rashaad Penny,RB,SEA,10,0.8,-,-,-,-,-,0.9,0.7,-,-,1.9,-,7.2,26.8,6.4,19.5,32.5,25,12.2,121.7
43,00-0033948,Jamaal Williams,RB,DET,13,25,6.7,14.7,6.6,8.5,1.9,5.7,-,-,-,1.1,13.3,9,-,-,7.7,13.4,6.2,9.2,119.8
44,18283,Miles Sanders,RB,PHI,12,17.3,6.9,8.5,7.7,10.1,8.6,3.7,-,-,-,7.4,7.4,17.2,-,16.6,5.8,-,-,9.8,117.2
45,18406,Ty Johnson,RB,NYJ,15,3.6,5,3.3,3.3,11.4,-,13.1,19.6,12.1,8.8,2.3,4.2,3.5,9.7,-,-,17.2,-0.1,7.8,117
46,19325,Clyde Edwards-Helaire,RB,KC,10,10.2,2.6,16.9,18.3,3.4,-,-,-,-,-,15.6,-,11.2,19.2,9,10.1,-,-,11.7,116.5
47,22726,Rhamondre Stevenson,RB,NE,12,0.1,-,-,-,2.3,15.2,-,4.1,12.6,27.4,8.5,4.6,7.8,BYE,5,-,22.7,4.6,9.6,114.9
48,17297,Nyheim Miller-Hines,RB,FA,17,14.2,3.2,18.9,1.1,1.8,3.2,2.2,6.4,20.8,4.9,3.1,3.9,8.6,-,7.8,2.8,5.8,3.9,6.6,112.6
49,16425,Kareem Hunt,RB,CLE,8,17.1,6.3,27.5,16.6,25.9,10.8,-,-,-,-,-,2,-,3.8,-,-,-,-,13.8,110
50,00-0027966,Mark Ingram II,RB,NO,14,14.5,5,3,2.4,4.1,10.1,5.7,7.2,11.4,20.8,15.3,-,3.6,-,3.8,1.7,-,-,7.8,108.6
51,00-0036251,Zack Moss,RB,BUF,13,-,15.4,18.1,12.1,12.2,5.9,-,11.8,4.4,8.7,0.5,-,5.3,-,-,3.5,3.9,3.4,8.1,105.2
52,00-0030288,Rex Burkhead,RB,HOU,15,1.6,-,1.5,-0.1,-,0,0,13.8,0.9,-,4,8.4,5.5,10.6,5.7,28.9,13.9,9.6,7,104.3
53,19111,D'Ernest Johnson,RB,CLE,13,-,-,0.9,0,-,1.9,24.8,9.9,1.6,22.7,2.6,-,-,3.9,5.5,7.6,2.4,20.3,8,104.1
54,00-0030513,Latavius Murray,RB,BAL,14,8.8,9.6,2.8,11.9,5,13.6,-,-,-,-,5.3,1.4,5.5,6.1,6.1,3.4,3.1,21,7.4,103.6
55,00-0033118,Kenyan Drake,RB,LV,12,12,10.5,8.7,0.2,1.1,21.3,16.9,-,16,5.1,3.9,5,1.8,-,-,-,-,-,8.5,102.5
56,00-0034414,Boston Scott,RB,PHI,11,0,-,2.5,-,-,-,9.9,18,4,12.5,3.8,13.2,0,-,-,10.1,24.6,-,9,98.6
57,00-0033925,D'Onta Foreman,RB,TEN,9,-,-,-,-,-,-,-,-,2.9,9.8,5,10.2,-,14.2,15.5,7.7,19.2,9.4,10.4,93.9
58,13924,Ameer Abdullah,RB,CAR,17,3.9,0,2.4,1.2,0.2,0,0,9.6,7,9.1,0.6,4.4,-,5.3,15.5,3.9,9.2,17.2,5.3,89.5
59,00-0034440,Justin Jackson,RB,LAC,14,1.7,3.9,0,5.3,-,1.7,-,7.9,-,-,0.2,0,4.1,5.2,10.9,34.2,9.1,2,6.2,86.2
60,16423,Samaje Perine,RB,CIN,15,3.9,0,1.7,3.2,18.3,-,14.5,3.6,5.7,BYE,5.1,2.5,6.1,7.3,6.3,2.6,2.4,-,5.5,83.2
61,00-0032187,David Johnson,RB,HOU,13,11.8,6.7,1.1,7.8,10.1,1.1,10.2,1.3,7,-,6.4,7.5,-,-,3.7,-,-,6.6,6.3,81.3
62,00-0034816,Ronald Jones II,RB,TB,15,-0.6,4.6,1.1,8.5,4.6,3.9,4.3,2.9,-,-,9.3,9.7,1.2,0.8,9.1,16.1,3.7,-,5.3,79.2
63,22763,Khalil Herbert,RB,CHI,16,0,-,0,0.7,7.5,19.2,18.3,8.8,1.3,-,0,0.9,3.7,0.3,6.4,9.8,0.9,1.1,4.9,78.9
64,11798,Kyle Juszczyk,RB,SF,15,1.7,3.7,15.1,8.1,6.5,BYE,-,2.1,3.4,1.6,1.7,5.7,4.1,1.5,8.2,7.5,2.9,-,4.9,73.8
