"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"100","Deuce Vaughn","RB","DEN","7","0.8","6.2","-","2.1","1.8","-","-","0","BYE","1.9","-","-","-","-","-","-","2.2","-","2.1","15"
"101","Trayveon Williams","RB","FA","17","0.7","2.4","0.4","0.4","0.5","2.3","-","0.6","1.3","1.2","2","0","0","0.9","2.2","0","0.2","-0.2","0.9","14.9"
"102","Emanuel Wilson","RB","SEA","7","-","0.5","2.2","-","0","-","4.7","-","4.3","0","3.1","-","-","-","-","-","-","-","2.1","14.8"
"103","La'Mical Perine","RB","FA","5","-","-","-","-","-","-","-","-","0.1","-","-","0","-","-","-","0","0","13.9","2.8","14"
"103","Keaontay Ingram","RB","FA","7","-0.4","0.6","3.1","-","-","7.1","-","2.6","0.8","0.2","-","-","-","-","-","-","-","-","2","14"
"105","Mike Boone","RB","FA","9","4.8","-","0","0.4","0","1.1","-","2.6","0.3","2.6","1.5","-","-","-","-","-","-","-","1.5","13.3"
"106","Eric Gray","RB","NYG","14","0","0","0","0","3.6","0.2","0","-","-","-","0","0","BYE","0","3.6","0","1.8","3.8","0.9","13"
"107","Hunter Luepke","RB","DAL","17","0","0","3.1","6.4","0","0","BYE","0.8","0","0","0","0","0","0","0.3","2.1","0","0","0.7","12.7"
"108","J.K. Dobbins","RB","DEN","1","11.7","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","11.7","11.7"
"109","Gary Brightwell","RB","CIN","4","3.1","0","5.6","2.9","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","2.9","11.6"
"110","Nick Bawden","RB","FA","13","-","-","6.1","-","0","0","-","0","1.7","0","0","1.6","0","0.3","0","-","1.8","0","0.9","11.5"
"111","Brandon Bolden","RB","FA","5","0","-","-","-","-","-","-","-","-","-","-","-","-","0","8.5","2","0.6","-","2.2","11.1"
"112","Chris Brooks","RB","GB","4","-","-","6.6","-","0","2.8","-","-","-","-","-","-","-","-","-","-","1.2","-","2.7","10.6"
"113","Dare Ogunbowale","RB","FA","10","-","0.4","-","-","-","-","-","-","3","0","0","-","2.5","2.1","1.7","0.6","0","0","1","10.3"
"114","C.J. Ham","RB","FA","17","2.7","0","1.7","0","0","0","0","1.2","0","0","0","2.3","-","0.7","0","1.6","0","0","0.6","10.2"
"115","Ty Montgomery II","RB","FA","12","3.6","0","0","-","1.5","1.9","0","0","0","0","-","0","0.2","2.7","-","-","-","-","0.8","9.9"
"116","DeeJay Dallas","RB","JAC","17","2.8","0.3","1.5","0","-","0.9","-1","0","0","0","2.4","0.5","0.6","0","0","0.2","0","0","0.5","8.2"
"117","Damien Williams","RB","FA","3","-","-","-","-","-","5.4","0.2","1.9","-","-","-","-","-","-","-","-","-","-","2.5","7.5"
"118","Michael Burton","RB","FA","17","1.3","0.3","0","0","2","0.2","-0.2","0","-","0","0","0","0.4","1.3","0","1.4","0","0","0.4","6.7"
"119","Ke'Shawn Vaughn","RB","FA","5","-","-","-","2.9","-","0.9","0.7","0.1","1.8","-","-","-","-","-","-","-","-","-","1.3","6.4"
"120","Keith Smith","RB","FA","12","0","0","-","0","3.8","0","0.9","0","-","0","-","1.6","0","0","0","-","-","-","0.5","6.3"
"121","Khari Blasingame","RB","FA","14","0","-","0","-","2.6","1.1","1.4","0","0","-","0","0","-","0.7","0","0","0","0","0.4","5.8"
"122","Sean Tucker","RB","TB","5","4.4","0.7","0.1","0","BYE","-","-","-","-","0","-","-","-","-","-","-","-","-","1","5.2"
"123","Rashaad Penny","RB","FA","3","-","2.4","-","-","-","-","-","-","0.8","-","-","-","-","-","-","-","-","1.6","1.6","4.8"
"124","Jashaun Corbin","RB","FA","3","-","-","-","-","-","-","-","0","-","4.3","-","-","-","-","-","-","-","0","1.4","4.3"
"124","Alex Armah Jr.","RB","FA","7","-","-","-","-","-","-","-","1","0","1.3","-","-","-","-","0","0","0","2","0.6","4.3"
"126","Deon Jackson","RB","FA","2","3.8","-","-","-","-","-","-","-","0.2","-","-","-","-","-","-","-","-","-","2","4"
"126","Leonard Fournette","RB","FA","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","2","2","4"
"128","Elijah Dotson","RB","FA","1","-","3.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.9","3.9"
"129","Jake Funk","RB","FA","1","3.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.2","3.2"
"130","Anthony McFarland Jr.","RB","FA","3","3.1","-","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","1","3.1"
"130","Kenyan Drake","RB","FA","3","-","-","3.1","-","0","-","-","-","-","-","-","-","-","-","0","-","-","-","1","3.1"
"130","Bam Knight","RB","ARI","2","-","-","1.3","-","1.8","-","-","-","-","-","-","-","-","BYE","-","-","-","-","1.6","3.1"
"133","Derrick Gore","RB","FA","5","-","-","-","0","0","-","-","-","-","-","2.3","-","-","-","-","0","-","0.3","0.5","2.6"
"134","Adam Prentice","RB","DEN","11","0","-","-","0","0","-","-","-","BYE","0","-","0","0","0","0","0","2.4","0","0.2","2.4"
"135","Devine Ozigbo","RB","FA","2","-","-","-","-","-","2.3","-","0","-","-","-","-","-","-","-","-","-","-","1.2","2.3"
"136","Jakob Johnson","RB","FA","11","-","-","0","2.2","0","0","0","0","-","-","-","-","-","0","0","0","0","0","0.2","2.2"
"137","Tyrion Davis-Price","RB","FA","1","-","-","-","-","2.1","-","-","-","-","-","-","-","-","-","-","-","-","-","2.1","2.1"
"137","Chris Evans","RB","FA","7","2.1","-","-","-","0","0","-","0","0","0","0","-","-","-","-","-","-","-","0.3","2.1"
"139","Zach Evans","RB","FA","4","-","-","-","-","-","1","-","-","-","-","0","0.6","-","-","-","-","-","0.3","0.5","1.9"
"140","Evan Hull","RB","NO","1","1.7","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","1.7","1.7"
"141","Kene Nwangwu","RB","NYJ","8","-","-","-","-","-","-","0","-","-","0.9","-","0","-","0.3","0.1","0","0","0","0.2","1.3"
"141","Reggie Gilliam","RB","NE","16","0","1.3","0","0","0","0","0","0","-","0","0","0","-","0","0","0","0","0","0.1","1.3"
"143","Jonathan Ward","RB","FA","5","-","-","-","-","-","-","-","0","-","-","-","-","-","0","-","0","1.1","0","0.2","1.1"
"144","James Robinson","RB","FA","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","1","1"
"145","Brittain Brown","RB","CHI","1","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","0","-","0","0"
"145","Jeremy McNichols","RB","WAS","2","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","0","-","0","0","0"
"145","Henry Pearson","RB","FA","2","-","-","-","-","-","-","-","-","-","-","-","0","0","-","-","-","-","-","0","0"
"145","SaRodorick Thompson Jr.","RB","FA","2","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","0","0"
"145","Austin Walter","RB","FA","1","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0"
"145","Bryant Koback","RB","FA","1","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"145","Dwayne Washington","RB","FA","4","-","-","-","-","-","-","0","0","-","0","-","-","0","-","-","-","-","-","0","0"
"145","Godwin Igwebuike","RB","FA","8","0","-","-","-","-","-","0","0","0","-","-","-","0","0","0","-","0","-","0","0"
"145","Mohamed Ibrahim","RB","FA","1","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","0","0"
"145","Malik Davis","RB","DAL","2","-","-","-","-","-","0","BYE","-","-","-","-","-","-","-","0","-","-","-","0","0"
"145","Patrick Laird","RB","FA","2","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","0","-","-","0","0"
"145","Julius Chestnut","RB","TEN","2","0","0","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","0","0"
"145","Marlon Mack","RB","FA","2","0","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0"
"145","Travis Homer","RB","FA","9","0","-","0","0","-","-","0","0","-","-","-","0","-","0","0","-","-","0","0","0"
"145","Corey Clement","RB","FA","2","-","-","-","-","0","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0"
"145","Jordan Mims","RB","FA","3","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"145","JaMycal Hasty","RB","FA","2","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"145","Ben Mason","RB","FA","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"163","Jonathan Williams","RB","FA","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.2","-","-","-","-0.2","-0.2"
""
""
