#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
15,19198,Tua Tagovailoa,QB,MIA,13,14.8,40.9,11.4,3.4,-,-,15.9,29.2,24.1,23.4,-,16,15.8,12.6,18.1,13.4,-,-,18.4,238.9
16,11180,Russell Wilson,QB,DEN,15,17.8,12.1,9.1,26.5,11.2,13.8,-,14.8,-,15.2,10.7,8.5,9.7,26.6,-,11.3,24.6,24.1,15.7,235.8
17,00-0031280,Derek Carr,QB,LV,15,16.8,19,20.8,11.5,17.9,-,13.5,2.9,18.4,17.9,20.3,22.8,17,4.6,20.2,9.4,-,-,15.5,233.1
18,15600,Dak Prescott,QB,DAL,12,5.5,-,-,-,-,-,12.3,26.4,BYE,21.2,20.6,16.8,17.8,15.7,22.2,29,16.4,9.7,17.8,213.6
19,18600,Kyler Murray,QB,ARI,11,20.6,26.9,13.4,23.9,17.2,15.9,17.2,26.6,19,-,-,26.2,-,0.7,-,-,-,-,18.9,207.5
20,13890,Marcus Mariota,QB,ATL,13,19.8,15.4,16.6,4.9,18,24.2,12.1,24.4,7.6,18.7,17.7,14.9,11.4,BYE,-,-,-,-,15.8,205.6
21,22799,Davis Mills,QB,HOU,15,15.5,7.2,11.8,15.8,5.8,BYE,19.1,9.9,14,15.8,11.8,-,-,6.2,18.9,10.9,9.4,24.5,13.1,196.5
22,9907,Andy Dalton,QB,NO,14,-,-,-,13.7,10.9,10.5,29.5,17.2,11.9,9.1,22.2,10.3,13.3,-,14.1,2.6,7,11,13.1,183.2
23,20156,Mac Jones,QB,NE,14,9.5,13.7,18.9,-,-,-,1.9,12.7,9.7,-,10.1,23.3,12.5,8.3,7.5,17.5,16.3,19.2,12.9,181.1
24,15642,Jacoby Brissett,QB,CLE,14,10.9,16.5,17.9,16,15.4,10.6,10.1,20.3,-,16.5,25.9,14.1,BYE,0,0.3,-,0.2,-,12.5,174.6
25,12208,Jimmy Garoppolo,QB,SF,11,-,16.7,9.4,13.9,18,18.9,17.3,17.7,-,15.9,25.4,13.3,2.2,-,-,-,-,-,15.3,168.8
26,00-0026143,Matt Ryan,QB,IND,12,16.3,4.8,15.3,18.8,8.1,27.2,11.9,-,-,22.7,8.6,11.2,12.1,-,11.3,-,-,-,14,168.3
27,00-0029701,Ryan Tannehill,QB,TEN,12,19.3,2.9,19.8,14.4,11.5,-,3.9,-,-,19.4,20,12.5,13,18.8,11.7,-,-,-,13.9,167.2
28,22722,Kenny Pickett,QB,PIT,13,-,-,-,15.3,13.1,8.3,13.3,8.3,-,19.1,16,12.2,13.3,1.6,-,13.7,10.9,13.9,12.2,158.9
29,17237,Baker Mayfield,QB,LA,12,19,13.3,10.7,7.9,7.6,-,-,-,14.2,-,7,-,-,14.2,7.5,17.4,4.1,6.5,10.8,129.4
30,00-0031800,Taylor Heinicke,QB,WAS,9,-,-,-,-,-,-,15.4,23.1,14.7,6.4,7.8,12.4,17.6,-,13.3,11.2,-,-,13.6,122
