#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
215,00-0038477,Bryce Ford-Wheaton,WR,NYG,6,-,0,0,-,0,-,0,-,-,-,BYE,-,0,0,-,-,-,-,0,0
215,00-0037156,Irvin Charles,WR,NYJ,11,-,0,0,0,0,0,0,0,0,0,0,BYE,0,-,-,-,-,-,0,0
215,,Jaylen Johnson,WR,FA,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0
215,00-0037387,Jalen Virgil,WR,BUF,7,-,-,-,-,-,-,-,0,0,0,0,BYE,0,0,-,0,-,-,0,0
215,00-0037272,Montrell Washington,WR,FA,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0
215,,Bobby Brown,WR,FA,13,0,0,0,0,0,-,0,-,0,0,0,0,-,0,-,0,-,0,0,0
215,00-0033770,Justin Hardee Sr.,WR,FA,4,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,0,0,0
215,00-0036627,Dez Fitzpatrick,WR,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
254,00-0039614,Jermaine Jackson,WR,NO,4,-,-,-,-,-,-,0,0,-0.1,0,-,-,-,-,-,-,-,-,0,-0.1
255,18962,Steven Sims Jr.,WR,BAL,9,0,0,0,-2,-,0,-,-,0,0,-,-,-,-,-,-,0,0,-0.2,-2
256,00-0036913,Kadarius Toney,WR,CLE,3,-,-,-,-,-,-,-,-,-,-,-0.7,-,0.3,-2,-,-,-,-,-0.8,-2.4
257,00-0039392,Jha'Quan Jackson,WR,TEN,12,0,0,0,0,-,0,0,0,1.3,0,0,-2,-2,-,-,-,-,-,-0.2,-2.7
258,00-0034995,Dee Williams,WR,FA,13,-2,0,0,0,0,0,0,-2,0,-,0,0,-2,-,0,-,-,-,-0.5,-6
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
