season,week,eligible_qb,eligible_rb,eligible_wr,eligible_te,samples,mean,stdev,min,p05,p10,p25,p50,p75,p90,p95,max,score_ge_100_rate
2020,7,20,35,75,22,20000,117.166,22.336,40.300,82.700,89.400,101.800,115.700,131.200,146.300,156.300,224.100,0.7780
2020,8,22,40,72,20,20000,106.407,20.030,49.000,76.500,82.100,92.300,104.900,118.700,133.000,142.200,204.000,0.6032
2020,9,22,40,73,19,20000,112.752,20.026,48.100,81.800,88.100,98.800,111.500,125.500,139.000,147.600,203.800,0.7296
2020,10,20,36,71,20,20000,106.249,18.971,38.000,75.800,82.200,93.000,105.700,118.700,131.000,138.500,183.100,0.6190
2020,11,19,37,70,19,20000,111.254,17.494,43.000,83.100,89.000,99.400,110.800,122.800,134.000,141.000,175.900,0.7385
2020,12,21,43,78,22,20000,106.914,22.863,34.700,72.600,79.300,90.800,105.200,120.900,137.100,147.305,228.100,0.5928
2020,13,20,35,79,20,20000,116.454,21.341,32.900,82.495,89.600,101.875,115.700,130.400,144.210,152.700,209.400,0.7803
2020,14,23,35,84,23,20000,111.297,20.363,42.400,79.400,85.800,97.000,110.300,124.800,138.400,146.100,208.000,0.6984
2020,15,20,40,75,20,20000,120.363,21.001,29.800,85.800,93.500,106.100,120.200,134.400,147.500,155.500,208.100,0.8307
2020,16,20,38,71,22,20000,123.295,23.319,56.000,88.800,95.390,106.900,120.900,137.600,154.700,166.000,220.900,0.8489
2020,17,16,40,72,19,20000,126.102,23.342,37.500,89.300,96.700,109.900,125.300,141.200,156.900,166.200,231.800,0.8695
2021,1,22,49,85,18,20000,112.321,21.812,37.300,77.300,84.500,97.200,111.800,126.800,140.700,148.905,209.400,0.7094
2021,2,24,45,80,21,20000,108.901,21.687,38.800,76.000,82.400,93.600,107.450,122.600,137.200,147.000,222.400,0.6367
2021,3,20,46,79,20,20000,113.254,19.366,48.700,81.800,88.600,99.900,112.900,126.100,138.300,145.900,188.700,0.7487
2021,4,22,46,75,20,20000,117.339,20.301,51.900,85.500,92.100,103.200,116.500,130.500,143.700,152.400,218.500,0.8006
2021,5,22,48,78,18,20000,120.522,25.468,42.000,80.900,88.800,102.500,119.400,137.300,153.900,164.500,229.000,0.7816
2021,6,17,41,70,20,20000,119.245,18.981,50.300,89.300,95.200,105.900,118.600,131.600,144.100,151.600,201.700,0.8433
2021,7,16,38,60,18,20000,114.583,18.873,44.200,85.095,90.900,101.500,113.700,126.700,139.500,147.000,197.000,0.7750
2021,8,18,48,77,20,20000,103.111,18.920,39.600,72.900,79.100,90.000,102.800,115.525,127.900,134.905,177.200,0.5556
2021,9,21,42,68,23,20000,104.280,17.781,50.200,76.900,82.400,91.800,103.250,115.500,127.900,135.600,180.900,0.5729
