Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Jordan Mickey,MIA,23,93,81,9,6,10,2,18,0,0,0,0,151.5,6.59
Tarik Black,HOU,51,180,163,13,21,30,1,35,0,0,2,0,335.5,6.58
Sterling Brown,MIL,54,217,143,25,31,13,32,25,0,0,0,0,355.5,6.58
Jodie Meeks,WAS,77,487,126,70,29,4,72,37,0,0,0,0,504.5,6.55
Willie Reed,DET,42,195,121,10,9,22,1,19,0,0,1,0,273.0,6.5
Shane Larkin,BOS,54,231,92,98,29,2,31,33,0,0,1,0,351.0,6.5
Jose Calderon,CLE,57,255,84,117,27,2,45,41,0,0,0,0,368.0,6.46
Alex Caruso,LAL,37,134,65,75,23,10,13,42,0,0,0,0,237.5,6.42
Briante Weber,MEM,18,50,35,22,18,5,4,15,0,0,0,0,115.0,6.39
Jared Dudley,PHX,48,152,94,78,24,11,29,28,0,0,0,0,304.5,6.34
Monte Morris,DEN,3,10,2,7,3,0,0,1,0,0,0,0,19.0,6.33
Jaylen Morris,ATL,6,28,16,7,2,1,2,6,0,0,0,0,38.0,6.33
Rodney Purvis,ORL,16,96,27,17,3,3,13,10,0,0,0,0,100.5,6.28
Josh Magette,ATL,18,46,19,57,8,1,8,9,0,0,0,0,112.0,6.22
Sindarius Thornwell,LAC,73,282,140,68,48,25,23,53,0,0,0,0,453.5,6.21
Patrick McCaw,GSW,57,229,82,81,43,10,19,41,0,0,0,0,352.0,6.18
Paul Zipser,CHI,54,218,131,46,20,15,37,43,0,0,0,0,331.5,6.14
Sean Kilpatrick,CHI,52,330,87,46,13,5,46,38,0,0,0,0,319.0,6.13
Milton Doyle,BKN,10,34,18,10,6,2,4,2,0,0,0,0,61.0,6.1
Travis Wear,LAL,17,75,38,7,4,5,17,6,0,0,0,0,103.0,6.06
Lance Thomas,NYK,73,298,175,44,30,14,50,41,0,0,0,0,440.0,6.03
Wes Iwundu,ORL,62,229,137,57,33,12,9,30,0,0,0,0,373.0,6.02
Treveon Graham,CHA,63,273,121,59,33,2,40,27,0,0,0,0,379.5,6.02
Jonathan Gibson,BOS,4,34,3,4,0,0,6,3,0,0,0,0,24.0,6.0
Isaiah Whitehead,BKN,16,100,26,20,8,2,7,24,0,0,0,0,95.5,5.97
Johnny O'Bryant III,CHA,36,171,93,14,9,6,14,15,0,0,0,0,214.5,5.96
Luke Babbitt,MIA,50,259,96,31,8,7,60,19,0,0,0,0,297.5,5.95
Lucas Nogueira,TOR,49,122,87,22,23,43,5,16,0,0,0,0,288.5,5.89
Ivica Zubac,LAL,43,161,123,25,8,15,0,26,0,0,1,0,249.5,5.8
Timofey Mozgov,BKN,31,131,98,11,5,13,4,33,0,0,0,0,179.5,5.79
Jason Terry,MIL,51,166,48,59,42,13,40,25,0,0,0,0,295.0,5.78
Joffrey Lauvergne,SAS,55,226,171,41,9,3,0,33,0,0,1,0,317.0,5.76
Timothe Luwawu-Cabarrot,PHI,52,299,72,54,12,5,53,38,0,0,0,0,298.0,5.73
Glenn Robinson III,IND,23,95,37,17,13,1,14,5,0,0,0,0,131.5,5.72
Nigel Hayes-Davis,SAC,9,27,22,6,2,3,4,2,0,0,0,0,51.5,5.72
Alex Abrines,OKC,75,353,114,28,38,8,84,25,0,0,0,0,427.5,5.7
Ron Baker,NYK,29,71,30,47,26,6,11,18,0,0,0,0,164.0,5.66
Andrew White III,ATL,15,69,34,6,3,1,18,8,0,0,0,0,83.5,5.57
Jalen Jones,DAL,16,74,38,4,5,1,10,7,0,0,0,0,89.0,5.56
Kendrick Perkins,CLE,1,3,1,2,1,0,0,1,0,0,0,0,5.5,5.5
Jameel Warney,DAL,3,17,9,0,0,0,0,1,0,0,0,0,16.5,5.5
Sam Dekker,LAC,73,303,174,38,24,9,10,33,0,0,0,0,401.5,5.5
Raul Neto,UTA,41,183,49,75,13,4,19,36,0,0,0,0,223.0,5.44
Tony Allen,NOP,22,103,47,9,11,3,4,19,0,0,0,0,118.5,5.39
Josh Huestis,OKC,69,159,161,20,15,43,33,26,0,0,0,0,367.0,5.32
Derrick Jones Jr.,MIA,20,61,38,9,4,13,3,7,0,0,0,0,106.0,5.3
Andrew Bogut,LAL,24,36,78,15,4,13,0,19,0,0,0,0,126.0,5.25
Damyean Dotson,NYK,44,182,84,31,12,2,22,17,0,0,2,0,230.0,5.23
Isaiah Hicks,NYK,18,80,41,16,2,4,2,16,0,0,0,0,94.0,5.22
Nik Stauskas,BKN,41,181,64,39,9,4,40,26,0,0,0,0,213.5,5.21
Alec Peters,PHX,20,82,37,12,2,2,18,4,0,0,0,0,103.0,5.15
Cedi Osman,CLE,61,238,120,41,22,3,32,32,0,0,0,0,314.0,5.15
Wade Baldwin IV,POR,7,38,8,5,2,1,4,4,0,0,0,0,36.0,5.14
Shabazz Muhammad,MIL,43,214,76,14,9,3,7,6,0,0,0,0,218.5,5.08
Gary Payton II,LAL,23,69,44,21,7,3,6,7,0,0,1,0,116.5,5.07
Dwayne Bacon,CHA,53,175,124,38,16,2,11,23,0,0,0,0,268.0,5.06
Matt Costello,SAS,4,4,9,2,2,2,0,1,0,0,0,0,20.0,5.0
Juancho Hernangomez,DEN,25,82,54,12,6,3,14,9,0,0,0,0,123.0,4.92
Davon Reed,PHX,21,63,39,13,10,2,11,10,0,0,0,0,103.0,4.9
Henry Ellenson,DET,38,151,81,20,5,0,20,18,0,0,1,0,179.5,4.72
Okaro White,CLE,6,20,11,2,1,1,4,1,0,0,0,0,28.0,4.67
Meyers Leonard,POR,33,112,70,17,7,0,11,10,0,0,0,0,152.5,4.62
RJ Hunter,HOU,5,19,5,3,3,0,3,2,0,0,0,0,23.0,4.6
DeAndre Liggins,NOP,58,101,75,48,37,14,19,20,0,0,0,0,265.0,4.57
Adreian Payne,ORL,5,21,9,0,2,0,2,2,0,0,0,0,22.5,4.5
Ante Zizic,CLE,32,119,60,5,2,13,0,11,0,0,0,0,143.5,4.48
Georgios Papagiannis,POR,17,36,37,9,4,6,0,8,0,0,0,0,76.0,4.47
Semi Ojeleye,BOS,73,195,161,20,21,4,40,25,0,0,0,0,323.5,4.43
Brice Johnson,MEM,18,43,31,2,9,6,0,5,0,0,0,0,79.5,4.42
Derrick White,SAS,17,54,26,9,4,3,8,6,0,0,0,0,74.0,4.35
Jason Smith,WAS,33,113,53,14,3,13,4,16,0,0,0,0,141.5,4.29
Derrick Walton Jr.,MIA,16,29,16,16,7,3,7,2,0,0,0,0,68.0,4.25
Ryan Arcidiacono,CHI,24,48,25,35,13,0,9,13,0,0,0,0,101.5,4.23
Malachi Richardson,TOR,26,89,34,13,10,1,12,10,0,0,0,0,109.5,4.21
Bruno Caboclo,SAC,12,26,22,4,3,4,3,4,0,0,0,0,50.5,4.21
Joe Young,IND,53,207,63,39,14,1,25,26,0,0,0,0,222.0,4.19
Abdel Nader,BOS,48,146,71,26,15,10,23,34,0,0,0,0,197.5,4.11
Joakim Noah,NYK,7,12,14,4,2,2,0,4,0,0,0,0,28.0,4.0
Mangok Mathiang,CHA,4,8,10,0,1,0,0,0,0,0,0,0,16.0,4.0
Chinanu Onuaku,HOU,1,4,4,1,0,0,0,3,0,0,0,0,4.0,4.0
Terrance Ferguson,OKC,61,189,47,19,24,10,40,11,0,0,0,0,237.5,3.89
Arron Afflalo,ORL,53,179,66,30,4,9,27,21,0,0,0,0,204.0,3.85
Kay Felder,DET,16,57,18,20,3,1,4,16,0,0,0,0,60.5,3.78
Malik Beasley,DEN,62,196,71,31,15,7,28,24,0,0,0,0,234.0,3.77
Lorenzo Brown,TOR,14,32,15,13,5,0,2,3,0,0,0,0,52.0,3.71
Jabari Bird,BOS,13,39,19,8,3,1,3,8,0,0,0,0,48.0,3.69
Guerschon Yabusele,BOS,33,79,52,16,4,5,12,12,0,0,0,0,119.5,3.62
James Webb III,BKN,10,16,24,4,1,0,4,4,0,0,0,0,36.0,3.6
Caleb Swanigan,POR,27,61,54,14,5,3,1,18,0,0,0,0,97.0,3.59
Gian Clavell,DAL,7,20,7,3,2,0,6,2,0,0,0,0,25.0,3.57
Omer Asik,CHI,18,22,47,3,2,4,0,9,0,0,0,0,64.0,3.56
T.J. Leaf,IND,53,156,82,9,5,4,18,10,0,0,0,0,186.0,3.51
Jacob Wiley,BKN,5,4,11,2,1,0,1,0,0,0,0,0,17.5,3.5
Brandon Paul,SAS,64,147,68,37,25,7,15,29,0,0,0,0,221.0,3.45
Daniel Hamilton,OKC,6,12,5,8,1,0,2,2,0,0,0,0,20.0,3.33
Darrell Arthur,DEN,19,54,15,9,8,3,8,15,0,0,0,0,62.0,3.26
Zhou Qi,HOU,18,22,22,2,2,14,2,10,0,0,0,0,58.0,3.22
Chris McCullough,WAS,19,46,25,4,0,5,1,2,0,0,0,0,60.5,3.18
Julyan Stone,CHA,23,19,29,26,4,2,6,7,0,0,0,0,72.5,3.15
Marshall Plumlee,MIL,8,14,17,2,0,1,0,3,0,0,0,0,25.0,3.12
Dakari Johnson,OKC,31,55,34,8,6,8,0,3,0,0,0,0,94.5,3.05
Luol Deng,LAL,1,2,0,1,1,0,0,1,0,0,0,0,3.0,3.0
Justin Patton,MIN,1,2,0,0,1,0,0,0,0,0,0,0,3.0,3.0
Anthony Brown,MIN,1,3,0,1,0,0,1,0,0,0,0,0,3.0,3.0
Quincy Pondexter,CHI,23,45,27,9,8,2,3,11,0,0,0,0,69.0,3.0
John Holland,CLE,24,54,24,5,7,2,11,8,0,0,0,0,71.5,2.98
Rashad Vaughn,ORL,28,64,21,13,5,3,14,6,0,0,0,0,83.0,2.96
Marcus Paige,CHA,5,12,4,3,0,0,2,0,0,0,0,0,14.0,2.8
Walt Lemon Jr.,NOP,5,17,2,5,0,1,1,4,0,0,0,0,14.0,2.8
Malcolm Miller,TOR,15,38,15,3,1,2,8,5,0,0,0,0,42.0,2.8
Joel Bolomboy,MIL,6,9,10,0,2,0,0,2,0,0,0,0,16.5,2.75
Antonius Cleveland,ATL,17,23,14,2,7,5,3,7,0,0,0,0,46.0,2.71
James Michael McAdoo,PHI,3,8,2,0,0,1,2,1,0,0,0,0,8.0,2.67
Thomas Bryant,LAL,15,22,17,6,1,2,1,2,0,0,0,0,38.5,2.57
Aaron Brooks,MIN,32,75,17,20,6,0,11,11,0,0,0,0,81.0,2.53
Richard Jefferson,DEN,20,30,17,15,2,1,2,5,0,0,0,0,49.0,2.45
Bobby Brown,HOU,20,50,7,11,4,0,11,9,0,0,0,0,47.5,2.38
Furkan Korkmaz,PHI,14,23,11,4,2,1,5,2,0,0,0,0,33.0,2.36
Damien Wilkins,IND,19,33,16,9,2,1,4,5,0,0,0,0,44.5,2.34
Jeff Withey,DAL,10,15,10,0,0,3,2,2,0,0,0,0,22.5,2.25
Nick Collison,OKC,15,31,20,4,0,0,0,7,0,0,0,0,32.5,2.17
Damian Jones,GSW,15,25,14,2,1,3,0,4,0,0,0,0,32.5,2.17
James Young,PHI,6,17,2,2,0,0,3,1,0,0,0,0,13.0,2.17
