Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Jalen Smith,53,541,355,65,24,42,82,53,0,0,9,0,819.5,15.46
Al Horford,43,357,215,112,30,50,71,41,0,0,0,0,660.0,15.35
Davion Mitchell,62,562,163,405,65,11,78,94,0,0,4,0,950.0,15.32
Precious Achiuwa,64,597,415,81,56,44,26,48,0,0,10,0,969.5,15.15
Andre Drummond,55,357,466,63,31,45,28,56,0,0,15,0,832.5,15.14
Dylan Cardwell,35,185,271,46,24,49,0,29,0,0,3,0,529.5,15.13
Ace Bailey,63,845,258,112,54,39,122,86,0,0,0,0,953.5,15.13
Cam Spencer,67,751,173,361,48,10,136,86,0,0,5,0,1012.5,15.11
Robert Williams III,50,342,349,52,31,76,7,43,0,0,4,0,750.5,15.01
Scotty Pippen Jr.,10,114,22,47,19,4,10,27,0,0,0,0,150.0,15.0
Christian Braun,37,435,181,106,26,10,35,40,0,0,0,0,554.0,14.97
De'Anthony Melton,41,533,127,100,64,17,61,76,0,0,0,0,610.0,14.88
Jarace Walker,72,837,371,176,58,24,126,130,0,0,3,0,1065.5,14.8
Day'Ron Sharpe,62,540,413,145,67,26,9,106,0,0,5,0,917.5,14.8
Aaron Nesmith,44,595,180,84,25,23,101,58,0,0,0,0,650.0,14.77
Kyle Kuzma,65,850,295,167,42,25,80,106,0,0,4,0,959.0,14.75
Jonathan Kuminga,29,357,176,72,17,7,29,63,0,0,1,0,427.0,14.72
Sandro Mamukelashvili,69,748,331,130,55,38,92,56,0,0,3,0,1014.0,14.7
Herbert Jones,50,456,177,142,84,24,71,65,0,0,0,0,733.5,14.67
Steven Adams,32,187,276,48,22,20,0,35,0,0,3,0,469.5,14.67
Jeremiah Fears,73,954,261,234,82,24,85,162,0,0,2,0,1066.5,14.61
Max Strus,5,46,31,11,3,0,12,4,0,0,0,0,73.0,14.6
Jordan Goodwin,63,548,308,136,93,12,96,61,0,0,2,0,917.0,14.56
Miles McBride,35,451,91,97,30,6,102,28,0,0,0,0,508.5,14.53
Jay Huff,73,692,280,97,38,135,105,62,0,0,1,0,1060.5,14.53
Cason Wallace,70,593,218,189,140,26,87,69,0,0,1,0,1011.0,14.44
Jock Landale,66,691,373,110,35,34,71,58,0,0,8,0,952.0,14.42
Moses Moody,60,728,200,98,58,34,151,57,0,0,0,0,864.5,14.41
Keldon Johnson,72,933,391,95,40,9,87,62,0,0,5,0,1037.0,14.4
Isaiah Stewart,55,552,281,66,15,90,39,63,0,0,2,0,791.5,14.39
Noah Clowney,62,773,256,104,46,41,125,96,0,0,1,0,888.0,14.32
Cameron Johnson,47,559,175,110,33,17,92,40,0,0,1,0,671.5,14.29
Dylan Harper,59,680,199,227,46,19,48,82,0,0,0,0,838.0,14.2
Derrick Jones Jr.,40,442,128,58,40,42,49,32,0,0,0,0,563.5,14.09
Marvin Bagley III,54,542,332,75,25,38,16,58,0,0,6,0,760.0,14.07
Brandon Williams,60,769,176,226,55,19,35,112,0,0,1,0,841.0,14.02
Luke Kornet,61,402,382,111,27,64,0,26,0,0,3,0,853.0,13.98
Dennis Schröder,62,684,171,303,49,10,71,113,0,0,2,0,858.5,13.85
Collin Murray-Boyles,48,375,237,94,45,46,17,53,0,0,3,0,659.0,13.73
De'Andre Hunter,45,615,185,90,30,6,75,75,0,0,0,0,617.0,13.71
Jaylin Williams,58,433,316,144,28,37,90,63,0,0,5,0,793.5,13.68
